Gene,Locus Tag,Protein
,STM14_1462,
,STM14_1463,minor capsid protein FII
,STM14_1464,prophage minor tail protein Z
,STM14_1465,Peyer's patch-specific virulence factor GipA
,STM14_1466,phage minor tail protein U
,STM14_1467,major tail-like protein
,STM14_1468,phage minor tail protein G
,STM14_1469,minor tail-like protein
,STM14_1470,phage tail component H-like protein
,STM14_1471,phage tail component M-like protein
,STM14_1472,phage tail component L-like protein
,STM14_1473,hypothetical protein
,STM14_1474,tail assembly protein I-like protein
,STM14_1475,host specificity protein
,STM14_1476,conserved hypothetical protein
,STM14_1477,hypothetical protein
,STM14_1478,side tail fiber protein
,STM14_1479,phage tail assembly-like protein
,STM14_1480,PagJ
,STM14_1481,hypothetical protein
,STM14_1482,
,STM14_1483,SspH1
,STM14_1484,conserved hypothetical protein
,STM14_1485,"isocitrate dehydrogenase, NADP-dependent"
,STM14_1486,putative cytoplasmic protein
,STM14_1487,hypothetical protein
,STM14_1488,hypothetical protein
,STM14_1489,hypothetical protein
envF,STM14_1490,putative envelope lipoprotein
msgA,STM14_1492,macrophage survival protein
envE,STM14_1493,putative envelope protein
,STM14_1494,hypothetical protein
,STM14_1495,cold shock-like protein
,STM14_1496,hypothetical protein
pagD,STM14_1497,virulence protein PAGD precursor
,STM14_1498,
,STM14_1499,conserved hypothetical protein
,STM14_1500,hypothetical protein
pagC,STM14_1501,virulence membrane protein PAGC precursor
,STM14_1502,hypothetical protein
,STM14_1504,
pliC,STM14_1505,lysozyme inhibitor
,STM14_1506,hypothetical protein
,STM14_1507,putative lipoprotein
,STM14_1508,putative cytoplasmic protein
,STM14_1509,putative molecular chaperone
,STM14_1510,putative inner membrane protein
,STM14_1511,putative cytoplasmic protein
,STM14_1512,putative inner membrane protein
,STM14_1513,putative outer membrane lipoprotein
,STM14_1514,hypothetical protein
,STM14_1515,putative ABC transporter periplasmic binding protein
,STM14_1516,putative ABC transporter protein
,STM14_1517,putative ABC transporter protein
,STM14_1518,putative ABC-type transport system ATPase component
,STM14_1519,putative ABC-type transport system ATPase component
,STM14_1520,putative inner membrane protein
,STM14_1521,putative cytoplasmic protein
,STM14_1523,hypothetical protein
,STM14_1524,hypothetical protein
aadA,STM14_1525,aminoglycoside resistance protein
,STM14_1526,putative response regulator
,STM14_1527,putative transcriptional regulator
,STM14_1528,hypothetical protein
,STM14_1529,putative cytoplasmic protein
,STM14_1530,putative cytoplasmic protein
,STM14_1531,chorismate mutase
yeaS,STM14_1532,leucine export protein LeuE
,STM14_1533,hypothetical protein
yeaR,STM14_1534,putative cytoplasmic protein
yoaG,STM14_1535,putative cytoplasmic protein
,STM14_1536,hypothetical protein
,STM14_1537,putative nitric oxide reductase
,STM14_1538,hypothetical protein
yeaQ,STM14_1539,hypothetical protein
,STM14_1540,hypothetical protein
,STM14_1541,hypothetical protein
yaoF,STM14_1542,putative hemolysin
,STM14_1543,putative periplasmic protein
yeaO,STM14_1544,putative cytoplasmic protein
,STM14_1545,hypothetical protein
,STM14_1546,hypothetical protein
yeaN,STM14_1547,putative amino acid/amine transport protein
yeaM,STM14_1548,putative regulatory protein
yeaL,STM14_1549,putative inner membrane protein
,STM14_1550,conserved hypothetical protein
,STM14_1551,putative inner membrane protein
yeaK,STM14_1552,putative cytoplasmic protein
yeaJ,STM14_1553,putative methyl-accepting chemotaxis protein
,STM14_1554,hypothetical protein
,STM14_1555,salivary secreted protein
yeaH,STM14_1556,hypothetical protein
,STM14_1557,hypothetical protein
yeaG,STM14_1558,putative serine protein kinase
,STM14_1559,hypothetical protein
mipA,STM14_1560,MltA-interacting protein A
,STM14_1561,arylsulfatase regulator
,STM14_1562,putative aldehyde reductase
yeaD,STM14_1563,aldose 1-epimerase
,STM14_1564,hypothetical protein
gapA,STM14_1565,glyceraldehyde-3-phosphate dehydrogenase
,STM14_1566,hypothetical protein
yeaA,STM14_1567,methionine sulfoxide reductase B
yeaC,STM14_1568,putative cytoplasmic protein
,STM14_1569,hypothetical protein
pncA,STM14_1570,nicotinamidase/pyrazinamidase
ansA,STM14_1571,cytoplasmic asparaginase I
,STM14_1572,hypothetical protein
sppA,STM14_1573,protease 4
ydjA,STM14_1574,hypothetical protein
selD,STM14_1575,selenophosphate synthetase
topB,STM14_1576,DNA topoisomerase III
gdhA,STM14_1577,glutamate dehydrogenase
,STM14_1578,putative periplasmic protein
,STM14_1579,pyrimidine (deoxy)nucleoside triphosphate pyrophosphohydrolase
xthA,STM14_1580,exonuclease III
,STM14_1581,conserved hypothetical protein
argD_1,STM14_1582,bifunctional succinylornithine transaminase/acetylornithine transaminase
astA,STM14_1583,arginine succinyltransferase
astD,STM14_1584,succinylglutamic semialdehyde dehydrogenase
astB,STM14_1585,succinylarginine dihydrolase
astE,STM14_1586,succinylglutamate desuccinylase
,STM14_1587,hypothetical protein
spy,STM14_1588,periplasmic protein
,STM14_1589,nucleotide excision repair endonuclease
nadE,STM14_1590,NAD synthetase
,STM14_1591,hypothetical protein
osmE,STM14_1592,DNA-binding transcriptional activator OsmE
,STM14_1593,hypothetical protein
celA,STM14_1594,"N,N'-diacetylchitobiose-specific PTS system transporter subunit IIB"
celB,STM14_1595,"N,N'-diacetylchitobiose-specific PTS system transporter subunit IIC"
celC,STM14_1596,"N,N'-diacetylchitobiose-specific PTS system transporter subunit IIA"
celD,STM14_1597,DNA-binding transcriptional regulator ChbR
celF,STM14_1598,phospho-beta-glucosidase/cellobiose-6-phosphate hydrolase
celG,STM14_1599,hypothetical protein
katE,STM14_1600,hydroperoxidase II
,STM14_1601,hypothetical protein
,STM14_1602,hypothetical protein
cedA,STM14_1603,cell division modulator
ydjN,STM14_1604,kinase/transporter-like protein
ydjM,STM14_1605,hypothetical protein
yniC,STM14_1606,2-deoxyglucose-6-phosphatase
yniB,STM14_1607,putative regulatory protein
,STM14_1608,putative cytoplasmic protein
ydiZ,STM14_1609,putative cytoplasmic protein
pfkB,STM14_1610,6-phosphofructokinase 2
ydiY,STM14_1611,putative outer membrane protein
,STM14_1612,putative outer membrane protein
,STM14_1613,putative inner membrane protein
,STM14_1614,putative DNA/RNA non-specific endonuclease
,STM14_1615,hypothetical protein
rfc,STM14_1616,O-antigen polymerase
,STM14_1617,hypothetical protein
,STM14_1618,hypothetical protein
thrS,STM14_1619,threonyl-tRNA synthetase
infC,STM14_1620,translation initiation factor IF-3
rpmI,STM14_1621,50S ribosomal protein L35
rplT,STM14_1622,50S ribosomal protein L20
,STM14_1623,hypothetical protein
pheS,STM14_1624,phenylalanyl-tRNA synthetase subunit alpha
pheT,STM14_1625,phenylalanyl-tRNA synthetase subunit beta
ihfA,STM14_1626,integration host factor subunit alpha
btuC,STM14_1627,vtamin B12-transporter permease
btuE,STM14_1628,putative glutathione peroxidase
btuD,STM14_1629,vitamin B12-transporter ATPase
nlpC,STM14_1630,lipoprotein
,STM14_1631,hypothetical protein
ydiV,STM14_1632,hypothetical protein
ydiU,STM14_1633,hypothetical protein
ydiE,STM14_1634,hypothetical protein
aroH,STM14_1635,phospho-2-dehydro-3-deoxyheptonate aldolase
,STM14_1636,hypothetical protein
ydiA,STM14_1637,hypothetical protein
,STM14_1638,hypothetical protein
pps,STM14_1639,phosphoenolpyruvate synthase
ydiD,STM14_1640,short chain acyl-CoA synthetase
ydiT,STM14_1641,putative ferredoxin
ydiS,STM14_1642,hypothetical protein
ydiR,STM14_1643,electron transfer flavoprotein subunit YdiR
ydiQ,STM14_1644,putative electron transfer flavoprotein YdiQ
,STM14_1645,hypothetical protein
ydiP,STM14_1646,putative transcriptional regulator
ydiO,STM14_1647,putative acyl-CoA dehydrogenase
ydiF,STM14_1648,putative acetyl-CoA/acetoacetyl-CoA transferase beta subunit
aroD,STM14_1649,3-dehydroquinate dehydratase
aroE_1,STM14_1650,quinate/shikimate dehydrogenase
ydiN,STM14_1651,putative transport protein
,STM14_1652,hypothetical protein
,STM14_1653,hypothetical protein
ydiM,STM14_1654,putative transport protein
ydiL,STM14_1655,putative cytoplasmic protein
ydiK,STM14_1657,putative inner membrane protein
,STM14_1658,hypothetical protein
ydiJ,STM14_1659,putative oxidase
,STM14_1660,hypothetical protein
ydiH,STM14_1661,putative cytoplasmic protein
,STM14_1662,putative Na+-dicarboxylate symporter
sufA,STM14_1663,iron-sulfur cluster assembly scaffold protein
sufB,STM14_1664,cysteine desulfurase activator complex subunit SufB
sufC,STM14_1665,cysteine desulfurase ATPase component
sufD,STM14_1666,cysteine desulfurase activator complex subunit SufD
sufS,STM14_1667,selenocysteine lyase
ynhA,STM14_1668,cysteine desufuration protein SufE
ynhG,STM14_1669,hypothetical protein
lppB,STM14_1670,putative methyl-accepting chemotaxis protein
lpp,STM14_1671,murein lipoprotein
pykF,STM14_1672,pyruvate kinase
orf48,STM14_1673,putative amino acid permease
orf32,STM14_1674,putative proline iminopeptidase
orf245,STM14_1675,putative cytoplasmic protein
orf408,STM14_1676,putative regulatory protein
ttrA,STM14_1677,tetrathionate reductase complex subunit A
ttrC,STM14_1678,tetrathionate reductase complex subunit C
ttrB,STM14_1679,tetrathionate reductase complex subunit B
ttrS,STM14_1680,sensory histidine kinase
ttrR,STM14_1681,response regulator
orf70,STM14_1682,hypothetical protein
orf319,STM14_1683,putative inner membrane protein
orf242,STM14_1684,putative regulatory protein
,STM14_1685,hypothetical protein
ssrB,STM14_1686,transcriptional activator
ssrA,STM14_1687,sensor kinase
ssaB,STM14_1688,secreted effector protein
ssaC,STM14_1689,outer membrane secretin precursor
ssaD,STM14_1690,virulence protein
ssaE,STM14_1691,secretion system effector
,STM14_1692,hypothetical protein
,STM14_1693,secretion system chaperone protein
,STM14_1694,translocation machinery component
sscA,STM14_1695,secretion system chaparone
sseC,STM14_1696,translocation machinery component
sseD,STM14_1697,translocation machinery component
sseE,STM14_1698,secreted effector protein
sscB,STM14_1699,secretion system chaparone
sseF,STM14_1700,secreted effector protein
sseG,STM14_1701,secreted effector protein
ssaG,STM14_1702,type III secretion system apparatus protein
ssaH,STM14_1703,type III secretion system apparatus protein
ssaI,STM14_1704,type III secretion system apparatus protein
ssaJ,STM14_1705,needle complex inner membrane lipoprotein
,STM14_1706,putative cytoplasmic protein
ssaK,STM14_1707,type III secretion system apparatus protein
ssaL,STM14_1708,type III secretion system apparatus protein
ssaM,STM14_1709,type III secretion system apparatus protein
ssaV,STM14_1710,secretion system apparatus protein SsaV
ssaN,STM14_1711,type III secretion system ATPase
ssaO,STM14_1712,type III secretion system apparatus protein
ssaP,STM14_1713,type III secretion system apparatus protein
ssaQ,STM14_1714,type III secretion system protein
ssaR,STM14_1715,type III secretion system protein
ssaS,STM14_1716,type III secretion system apparatus protein
ssaT,STM14_1717,type III secretion system apparatus protein
ssaU,STM14_1718,secretion system apparatus protein SsaU
,STM14_1719,hypothetical protein
ydhE,STM14_1722,multidrug efflux protein
ribE,STM14_1723,riboflavin synthase subunit alpha
cfa,STM14_1724,cyclopropane fatty acyl phospholipid synthase
ydhC,STM14_1725,inner membrane transport protein YdhC
ydhB,STM14_1726,putative DNA-binding transcriptional regulator
purR,STM14_1727,DNA-binding transcriptional repressor PurR
,STM14_1728,hypothetical protein
sodB,STM14_1729,superoxide dismutase
ydhO,STM14_1730,putative cell wall-associated hydrolase
ydhD,STM14_1731,hypothetical protein
rnt,STM14_1732,ribonuclease T
gloA,STM14_1733,glyoxalase I
nemA,STM14_1734,N-ethylmaleimide reductase
ydhM,STM14_1735,putative transcriptional repressor
ydhL,STM14_1736,putative oxidoreductase
ydhF,STM14_1737,putative aldo/keto reductase
sodC_2,STM14_1738,superoxide dismutase
,STM14_1739,putative inner membrane protein
ydhJ,STM14_1740,putative multidrug resistance efflux pump
ydhI,STM14_1741,putative inner membrane protein
slyA,STM14_1742,transcriptional regulator SlyA
slyB,STM14_1743,putative outer membrane lipoprotein
anmK,STM14_1744,anhydro-N-acetylmuramic acid kinase
mliC,STM14_1745,lysozyme inhibitor
pdxH,STM14_1746,pyridoxamine 5'-phosphate oxidase
tyrS,STM14_1747,tyrosyl-tRNA synthetase
pdxY,STM14_1748,pyridoxamine kinase
gst,STM14_1749,glutathionine S-transferase
tppB,STM14_1750,putative tripeptide transporter permease
,STM14_1751,hypothetical protein
nth,STM14_1752,endonuclease III
ydgQ,STM14_1753,SoxR-reducing system protein RsxE
ydgP,STM14_1754,electron transport complex protein RnfG
rnfD,STM14_1755,electron transport complex protein RnfD
,STM14_1756,electron transport complex protein RnfC
ydgM,STM14_1757,electron transport complex protein RnfB
,STM14_1758,Na(+)-translocating NADH-quinone reductase subunit E
ydgK,STM14_1759,putative inner membrane protein
ydgT,STM14_1760,oriC-binding nucleoid-associated protein
,STM14_1761,hypothetical protein
ydgJ,STM14_1762,putative oxidoreductase
add,STM14_1763,adenosine deaminase
,STM14_1764,hypothetical protein
malY,STM14_1765,
malX,STM14_1766,
,STM14_1767,hypothetical protein
ydgA,STM14_1768,putative periplasmic protein
manA,STM14_1769,mannose-6-phosphate isomerase
fumA,STM14_1770,fumarase A
,STM14_1771,fumarase A
fumC,STM14_1772,fumarate hydratase
tus,STM14_1773,DNA replication terminus site-binding protein
rstB,STM14_1774,sensor protein RstB
,STM14_1775,putative periplasmic protein
,STM14_1776,outer membrane protein
ompN,STM14_1777,outer membrane protein N precursor
,STM14_1778,
rstA,STM14_1779,DNA-binding transcriptional regulator RstA
ydgC,STM14_1780,putative inner membrane protein
ydgI,STM14_1781,putative amino acid transporter
,STM14_1782,putative amino acid permease
,STM14_1783,hypothetical protein
,STM14_1784,hypothetical protein
ydgH,STM14_1785,putative periplasmic protein
,STM14_1786,hypothetical protein
pntA,STM14_1787,NAD(P) transhydrogenase subunit alpha
pntB,STM14_1788,pyridine nucleotide transhydrogenase
tqsA,STM14_1789,putative transport protein
,STM14_1790,hypothetical protein
ydgF,STM14_1791,multidrug efflux system protein MdtJ
ydgE,STM14_1792,multidrug efflux system protein MdtI
,STM14_1793,putative protease
,STM14_1794,hypothetical protein
,STM14_1795,acid shock protein precursor
,STM14_1796,hypothetical protein
ynfM,STM14_1797,putative transport protein
ynfL,STM14_1798,putative transcriptional regulator
mlc,STM14_1799,pts operon transcriptional repressor
bioD_2,STM14_1800,putative dithiobiotin synthetase
,STM14_1801,putative voltage-gated ClC-type chloride channel ClcB
,STM14_1802,proline/glycine betaine transport system
,STM14_1803,putative ABC transporter permease component
,STM14_1804,putative ABC transporter periplasmic component
,STM14_1805,putative transport system permease component
ynfI,STM14_1806,twin-argninine leader-binding protein DmsD
,STM14_1807,putative dimethylsulfoxide reductase
,STM14_1808,putative dimethyl sulphoxide reductase
,STM14_1809,putative dimethyl sulphoxide reductase
,STM14_1810,putative dimethyl sulphoxide reductase subunit A
,STM14_1811,putative dimethyl sulphoxide reductase chain A1
ynfD,STM14_1812,putative outer membrane protein
ynfC,STM14_1813,hypothetical protein
speG,STM14_1814,spermidine N1-acetyltransferase
ynfB,STM14_1815,hypothetical protein
,STM14_1816,hypothetical protein
ynfA,STM14_1817,hypothetical protein
rspA,STM14_1818,putative dehydratase
rspB,STM14_1819,putative dehydrogenase
,STM14_1821,putative membrane transport protein
ydfI,STM14_1822,putative mannitol dehydrogenase
ydfZ,STM14_1823,putative cytoplasmic protein
ydfH,STM14_1824,putative regulatory protein
ydfG,STM14_1825,3-hydroxy acid dehydrogenase
dcp,STM14_1826,dipeptidyl carboxypeptidase II
,STM14_1827,hypothetical protein
,STM14_1828,peptidyl-dipeptidase dcp
,STM14_1829,putative cytoplasmic protein
ydeJ,STM14_1830,competence damage-inducible protein A
,STM14_1831,hypothetical protein
ydeI,STM14_1832,hypothetical protein
,STM14_1833,conserved hypothetical protein
ydeE,STM14_1834,putative MFS-type transporter YdeE
ydeD,STM14_1835,O-acetylserine/cysteine export protein
marB,STM14_1836,hypothetical protein
marA,STM14_1837,DNA-binding transcriptional activator MarA
marR,STM14_1838,DNA-binding transcriptional repressor MarR
marC,STM14_1839,multiple drug resistance protein MarC
ydeA,STM14_1840,sugar efflux transporter
yneJ,STM14_1841,putative transcriptional regulator
yneI,STM14_1842,putative succinate-semialdehyde dehydrogenase
yneH,STM14_1843,glutaminase
yneG,STM14_1844,putative cytoplasmic protein
,STM14_1845,putative inner membrane protein
,STM14_1846,putative outer membrane protein
,STM14_1847,putative inner membrane protein
,STM14_1848,putative outer membrane protein
,STM14_1849,putative hydrogenase
,STM14_1850,putative dehydrogenase protein
,STM14_1851,putative hydrogenase
,STM14_1852,putative hydrogenase
,STM14_1853,putative hydrogenase protein
,STM14_1854,putative hydrogenase maturation protease
,STM14_1855,putative Ni/Fe hydrogenase 1 b-type cytochrome subunit
,STM14_1856,putative hydrogenase-1 large subunit
,STM14_1857,putative hydrogenase-1 small subunit
,STM14_1858,hypothetical protein
,STM14_1859,putative hydrolase
,STM14_1860,putative regulatory protein
,STM14_1861,putative zinc-binding dehydrogenase
,STM14_1862,putative transport protein
pqaA,STM14_1863,PhoPQ-regulated protein
,STM14_1864,putative multidrug efflux protein
,STM14_1865,hypothetical protein
,STM14_1866,putative transcriptional regulator
,STM14_1867,hypothetical protein
,STM14_1868,putative S-adenosylmethionine/tRNA-ribosyltransferase-isomerase
,STM14_1869,putative translation initiation inhibitor
,STM14_1870,putative cytoplasmic protein
,STM14_1871,putative cytoplasmic protein
,STM14_1872,putative phage-related secreted protein
,STM14_1873,hypothetical protein
,STM14_1874,putative cytoplasmic protein
,STM14_1875,
,STM14_1876,hypothetical protein
,STM14_1877,putative coiled-coil protein
,STM14_1878,putative transcriptional regulator
,STM14_1879,putative Na+/H+ antiporter
,STM14_1880,putative aminotransferase
,STM14_1881,putative glycosyl hydrolase
,STM14_1882,putative glycosyl hydrolase
,STM14_1883,putative alpha amylase
,STM14_1884,putative lipoprotein
hdeB,STM14_1885,acid-resistance protein
osmC,STM14_1886,putative envelope protein
yddX,STM14_1887,biofilm-dependent modulation protein
rpsV,STM14_1888,30S ribosomal subunit S22
sfcA,STM14_1889,malate dehydrogenase
,STM14_1890,hypothetical protein
adhP,STM14_1891,alcohol dehydrogenase
fdnI,STM14_1892,formate dehydrogenase-N subunit gamma
fdnH,STM14_1893,formate dehydrogenase-N beta subunit
fdnG,STM14_1894,formate dehydorgenase-N alpha subunit
,STM14_1895,hypothetical protein
yddG,STM14_1896,hypothetical protein
,STM14_1897,hypothetical protein
nmpC,STM14_1898,putative outer membrane porin precursor
,STM14_1899,putative cytoplasmic protein
smvA,STM14_1900,methyl viologen resistance
,STM14_1901,putative transcriptional regulator
,STM14_1902,hypothetical protein
narU,STM14_1903,nitrate extrusion protein
,STM14_1904,hypothetical protein
narZ,STM14_1905,nitrate reductase 2 alpha subunit
narY,STM14_1906,nitrate reductase 2 beta subunit
narW,STM14_1907,nitrate reductase 2 delta subunit
narV,STM14_1908,nitrate reductase 2 gamma subunit
yddE,STM14_1909,hypothetical protein
nhoA,STM14_1910,putative arylamine N-acetyltransferase
,STM14_1911,hypothetical protein
,STM14_1912,putative cytoplasmic protein
,STM14_1913,hypothetical protein
,STM14_1914,hypothetical protein
,STM14_1915,hypothetical protein
ansP,STM14_1916,L-asparagine transport protein
,STM14_1917,putative outer membrane lipoprotein
,STM14_1918,putative periplasmic protein
,STM14_1919,hypothetical protein
yncD,STM14_1920,putative outer membrane receptor
yncC,STM14_1921,putative DNA-binding transcriptional regulator
,STM14_1922,hypothetical protein
,STM14_1923,hypothetical protein
yncB,STM14_1924,putative NADP-dependent oxidoreductase
yncA,STM14_1925,putative acyltransferase
ydcZ,STM14_1926,putative inner membrane protein
ydcY,STM14_1927,putative cytoplasmic protein
srfA,STM14_1928,putative virulence protein
srfB,STM14_1929,putative virulence protein
srfC,STM14_1930,putative virulence protein
ydcX,STM14_1931,putative inner membrane protein
,STM14_1932,hypothetical protein
,STM14_1933,hypothetical protein
ydcW,STM14_1934,gamma-aminobutyraldehyde dehydrogenase
ydcR,STM14_1935,putative regulatory protein
pdgL,STM14_1936,periplasmic dipeptidase precursor
,STM14_1937,putative inner membrane protein
ugtL,STM14_1938,hypothetical protein
,STM14_1939,hypothetical protein
sifB,STM14_1940,secreted effector protein
yncJ,STM14_1941,putative periplasmic protein
ydcP,STM14_1942,putative collagenase
ydcN,STM14_1943,putative repressor
,STM14_1944,putative benzoate membrane transport protein
,STM14_1945,putative outer membrane lipoprotein
tehB,STM14_1946,tellurite resistance protein TehB
tehA,STM14_1947,potassium-tellurite ethidium and proflavin transporter
ydcK,STM14_1948,putative nucleoside-diphosphate-sugar pyrophosphorylase
rimL,STM14_1949,ribosomal-protein-L7/L12-serine acetyltransferase
,STM14_1950,hypothetical protein
,STM14_1951,putative cellulase protein
,STM14_1952,putative PTS system enzymeIIB component
,STM14_1953,putative PTS system enzyme IIC component
,STM14_1954,putative nucleoside triphosphatase
,STM14_1955,putative sugar-specific PTS enzyme II
,STM14_1956,ribulose-phosphate 3-epimerase
,STM14_1957,putative transcriptional repressor of sgc operon
,STM14_1958,cryptic aminoglycoside resistance protein
,STM14_1959,putative oxidase
,STM14_1960,putative periplasmic protein
,STM14_1961,hypothetical protein
mdoD,STM14_1962,glucan biosynthesis protein D
,STM14_1963,putative carboxylesterase
,STM14_1964,putative cytoplasmic protein
ydcI,STM14_1965,putative transcriptional regulator
trg,STM14_1966,methyl-accepting chemotaxis protein III
,STM14_1967,hypothetical protein
,STM14_1968,alcohol dehydrogenase class III
,STM14_1969,putative cytoplasmic protein
,STM14_1970,putative dipicolinate reductase
,STM14_1971,putative inner membrane protein
,STM14_1972,hypothetical protein
,STM14_1973,hypothetical protein
sseJ,STM14_1974,secreted effector protein
,STM14_1975,putative inner membrane protein
,STM14_1976,hypothetical protein
,STM14_1977,putative periplasmic binding protein
,STM14_1978,putative ABC transporter permease component
,STM14_1979,putative ABC-type polar amino acid transport system ATPase component
,STM14_1980,putative ABC-type transport system membrane component
,STM14_1981,putative inner membrane protein
,STM14_1982,putative SAM-dependent methyltransferase
cybB,STM14_1983,cytochrome b561
ydcF,STM14_1984,putative inner membrane protein
hrpA,STM14_1985,ATP-dependent RNA helicase HrpA
acpD,STM14_1986,azoreductase
,STM14_1987,putative inner membrane protein
ydbL,STM14_1988,putative periplasmic protein
ynbE,STM14_1989,putative outer membrane lipoprotein
ydbH,STM14_1990,hypothetical protein
ldhA,STM14_1991,D-lactate dehydrogenase
hslJ,STM14_1992,heat-inducible protein
,STM14_1993,putative cytoplasmic protein
,STM14_1994,hypothetical protein
nifJ,STM14_1995,putative pyruvate-flavodoxin oxidoreductase
,STM14_1996,hypothetical protein
ynaF,STM14_1997,putative universal stress protein
,STM14_1998,putative membrane transporter of cations
,STM14_1999,Rac prophage; integrase
ydaO,STM14_2000,C32 tRNA thiolase
dbpA,STM14_2001,ATP-dependent RNA helicase DbpA
zntB,STM14_2002,zinc transporter
,STM14_2003,putative methyl-accepting chemotaxis protein
,STM14_2004,conserved hypothetical protein
ydaL,STM14_2005,hypothetical protein
ogt,STM14_2006,O-6-alkylguanine-DNA:cysteine-protein methyltransferase
fnr,STM14_2007,fumarate/nitrate reduction transcriptional regulator
ydaA,STM14_2008,universal stress protein UspE
ynaJ,STM14_2009,putative inner membrane protein
ynaI,STM14_2010,putative integral membrane protein
,STM14_2011,putative transcriptional regulator
,STM14_2012,putative cytoplasmic protein
,STM14_2013,
,STM14_2014,putative thiol peroxidase
,STM14_2015,hypothetical protein
,STM14_2016,invasin-like protein
,STM14_2017,putative lipoprotein
,STM14_2018,
,STM14_2020,putative outer membrane lipoprotein
,STM14_2021,putative regulatory protein
,STM14_2022,oxidoreductase
,STM14_2023,putative aldo/keto reductase
,STM14_2024,hypothetical protein
,STM14_2025,putative transcriptional regulator
,STM14_2026,putative 2'-hydroxyisoflavone reductase
mppA,STM14_2027,periplasmic murein tripeptide transport protein
ycjI,STM14_2028,murein peptide amidase A
ycjG,STM14_2029,putative chloromuconate cycloisomerase
tpx,STM14_2030,thiol peroxidase
,STM14_2031,hypothetical protein
tnpA_5,STM14_2032,transposase
tyrR,STM14_2033,DNA-binding transcriptional regulator TyrR
ycjF,STM14_2034,hypothetical protein
ycjX,STM14_2035,putative ATPase
pspE,STM14_2036,thiosulfate:cyanide sulfurtransferase (rhodanese)
pspD,STM14_2037,peripheral inner membrane phage-shock protein
pspC,STM14_2038,DNA-binding transcriptional activator PspC
pspB,STM14_2039,phage shock protein B
pspA,STM14_2040,phage shock protein PspA
pspF,STM14_2041,phage shock protein operon transcriptional activator
sapA,STM14_2042,peptide transport protein
sapB,STM14_2043,peptide transport protein
sapC,STM14_2044,peptide transport protein
sapD,STM14_2045,peptide transport protein
sapF,STM14_2046,peptide transport protein
,STM14_2047,hypothetical protein
,STM14_2048,hypothetical protein
,STM14_2049,hypothetical protein
,STM14_2050,putative inner membrane protein
,STM14_2051,hypothetical protein
ycjE,STM14_2052,putative cytoplasmic protein
fabI,STM14_2053,enoyl-(acyl carrier protein) reductase
,STM14_2054,hypothetical protein
yciW,STM14_2055,putative cytoplasmic protein
rnb,STM14_2056,exoribonuclease II
,STM14_2057,hypothetical protein
yciR,STM14_2058,RNase II stability modulator
,STM14_2059,conserved domain protein
yciT,STM14_2060,putative regulatory protein
,STM14_2061,hypothetical protein
osmB,STM14_2062,lipoprotein
yciH,STM14_2063,translation initiation factor Sui1
pyrF,STM14_2064,orotidine 5'-phosphate decarboxylase
,STM14_2065,hypothetical protein
yciM,STM14_2066,hypothetical protein
yciS,STM14_2067,putative inner membrane protein
pgpB,STM14_2068,phosphatidylglycerophosphatase B
ribA,STM14_2069,GTP cyclohydrolase II
acnA,STM14_2070,aconitate hydratase
,STM14_2071,hypothetical protein
cysB,STM14_2072,transcriptional regulator CysB
,STM14_2073,hypothetical protein
,STM14_2074,hypothetical protein
topA,STM14_2075,DNA topoisomerase I
,STM14_2076,hypothetical protein
yciN,STM14_2077,hypothetical protein
sohB,STM14_2078,putative periplasmic protease
,STM14_2079,hypothetical protein
yciK,STM14_2080,short chain dehydrogenase
btuR,STM14_2081,"cob(I)yrinic acid a,c-diamide adenosyltransferase"
yciL,STM14_2082,23S rRNA pseudouridylate synthase B
yciO,STM14_2083,
trpH,STM14_2084,hypothetical protein
trpL,STM14_2085,trp operon leader peptide
trpE,STM14_2086,anthranilate synthase component I
trpD,STM14_2087,bifunctional anthranilate synthase/anthranilate phosphoribosyltransferase
trpC,STM14_2088,bifunctional indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
trpB,STM14_2089,tryptophan synthase subunit beta
trpA,STM14_2090,tryptophan synthase subunit alpha
yciG,STM14_2091,putative cytoplasmic protein
yciF,STM14_2092,putative cytoplasmic protein
yciE,STM14_2093,putative cytoplasmic protein
,STM14_2094,putative catalase
ompW,STM14_2095,outer membrane protein W
,STM14_2096,putative ferredoxin
yciC,STM14_2097,hypothetical protein
yciB,STM14_2098,intracellular septation protein A
yciA,STM14_2099,acyl-CoA thioester hydrolase
tonB,STM14_2100,transport protein TonB
yciI,STM14_2101,YciI-like protein
,STM14_2102,hypothetical protein
cls,STM14_2103,cardiolipin synthetase
,STM14_2105,putative voltage-gated potassium channel
oppF,STM14_2106,oligopeptide transport protein
oppD,STM14_2107,oligopeptide transporter ATP-binding component
oppC,STM14_2108,oligopeptide transport protein
oppB,STM14_2109,oligopeptide transporter permease
oppA,STM14_2110,oligopeptide transport protein
,STM14_2111,putative inner membrane protein
ychE,STM14_2112,hypothetical protein
adhE,STM14_2113,bifunctional acetaldehyde-CoA/alcohol dehydrogenase
tdk_2,STM14_2114,thymidine kinase
,STM14_2115,hypothetical protein
hns,STM14_2116,global DNA-binding transcriptional dual regulator H-NS
,STM14_2117,hypothetical protein
galU,STM14_2118,UTP--glucose-1-phosphate uridylyltransferase subunit GalU
hnr,STM14_2119,response regulator of RpoS
ychK,STM14_2120,hypothetical protein
