Gene,Locus Tag,Protein
yceA,STM1156,putative enzyme related to sulfur transferases
yceI,STM1157,putative secreted protein
,STM1158,putative inner membrane protein
yceO,STM1159,putative inner membrane protein
solA,STM1160,putative sarcosine oxidase
yceP,STM1161,putative cytoplasmic protein
dinI,STM1162,DNA damage-inducible protein I
pyrC,STM1163,dihydro-orotase
yceB,STM1164,putative outer membrane lipoprotein
grxB,STM1165,glutaredoxin 2
yceL,STM1166,putative MFS superfamily transport protein
rimJ,STM1167,acetylation of N-terminal alanine of 30S ribosomal subunit protein S5
yceH,STM1168,putative cytoplasmic protein
mviM,STM1169,putative virulence factor
mviN,STM1170,putative virulence factor
flgN,STM1171,flagellar biosynthesis protein
flgM,STM1172,anti-FliA factor
flgA,STM1173,flagellar biosynthesis protein
flgB,STM1174,flagellar biosynthesis protein
flgC,STM1175,flagellar biosynthesis protein
flgD,STM1176,flagellar biosynthesis protein
flgE,STM1177,hook protein
flgF,STM1178,flagellar biosynthesis protein
flgG,STM1179,flagellar biosynthesis protein
flgH,STM1180,flagellar biosynthesis protein
flgI,STM1181,putative flagella basal body protein
flgJ,STM1182,flagellar biosynthesis protein
flgK,STM1183,hook-filament junction protein 1
flgL,STM1184,hook-filament junction protein
rne,STM1185,RNase E
rluC,STM1187,23S rRNA pseudouridylate synthase
,STM1188,putative inner membrane lipoprotein
yceF,STM1189,putative inhibitor of septum formation
yceD,STM1190,putative metal-binding protein
rpmF,STM1191,50S ribosomal subunit protein L32
plsX,STM1192,putative fatty acid/phospholipid synthesis protein
fabH,STM1193,3-oxoacyl-[acyl-carrier-protein
fabD,STM1194,malonyl-CoA-[acyl-carrier-protein
fabG,STM1195,3-oxoacyl-[acyl-carrier-protein
acpP,STM1196,acyl carrier protein
fabF,STM1197,3-oxoacyl-[acyl-carrier-protein
pabC,STM1198,4-amino-4-deoxychorismate lyase
yceG,STM1199,putative periplasmic solute-binding protein
tmk,STM1200,thymidylate kinase
holB,STM1201,"DNA polymerase III, delta prime subunit"
ycfH,STM1202,putative metal-dependent hydrolase
ptsG,STM1203,glucose-specific IIBC component of the Sugar Specific PTS family
fhuE,STM1204,outer membrane receptor for Fe(III)-coprogen
ycfF,STM1205,putative protein kinase C inhibitor
ycfL,STM1206,putative outer membrane lipoprotein
ycfM,STM1207,putative outer membrane lipoprotein
ycfN,STM1208,putative cytoplasmic protein
nagZ,STM1209,putative glycosyl hydrolase
ycfP,STM1210,putative esterase
ndh,STM1211,respiratory NADH dehydrogenase 2
ycfJ,STM1212,putative outer membrane lipoprotein
ycfQ,STM1213,putative transcriptional repressor (TetR/AcrR family)
ycfR,STM1214,putative outer membrane protein
ycfS,STM1215,putative periplasmic protein
mfd,STM1216,transcription-repair coupling factor
ycfU,STM1217,integral membrane protein ABC transporter
ycfV,STM1218,ATP-binding protein ABC transporter
ycfW,STM1219,integral membrane protein ABC transporter
ycfX,STM1220,putative regulator (NagC/XylR family)
cobB,STM1221,putative nicotinate-nucleotide dimethylbenzimidazolephosphoribosltransferase
potD,STM1222,spermidine/putrescine transporter
potC,STM1223,spermidine/putrescine transporter
sifA,STM1224,lysosomal glycoprotein (lgp)-containing structures
potB,STM1225,spermidine/putrescine transporter
potA,STM1226,spermidine/putrescine transporter
pepT,STM1227,putative peptidase T
,STM1228,putative periplasmic protein
ycfD,STM1229,putative cytoplasmic protein
phoQ,STM1230,sensory kinase protein in two-component regulatory system with PhoP
phoP,STM1231,response regulator in two-component regulatory system with PhoQ
purB,STM1232,adenylosuccinate lyase
ycfC,STM1233,unknown membrane associated protein
trmU,STM1234,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
ymfB,STM1235,putative MutT-like protein
,STM1236,putative periplasmic protein
ymfC,STM1237,putative ribosomal large subunit pseudouridine synthase
icdA,STM1238,isocitrate dehydrogenase in e14 prophage
,STM1239,putative cytoplasmic protein
envF,STM1240,putative envelope lipoprotein
msgA,STM1241,macrophage survival gene; reduced mouse virulence
envE,STM1242,putative envelope protein
,STM1243,homology with cold shock proteins
pagD,STM1244,PhoP regulated
pagC,STM1246,reduced macrophage survival protein
,STM1249,putative periplasmic protein
,STM1250,putative cytoplasmic protein
,STM1251,putative molecular chaperone (small heat shock protein)
,STM1252,putative cytoplasmic protein
,STM1253,putative inner membrane protein
,STM1254,putative outer membrane lipoprotein
,STM1255,putative ABC transporter periplasmic binding protein
,STM1256,putative ABC transporter
,STM1257,putative ABC transporter
,STM1258,putative ATPase component of ABC-type transport system
,STM1259,putative ATPase component of ABC-type transport system
,STM1260,putative inner membrane protein
,STM1261,putative cytoplasmic protein
,STM1263,putative periplasmic protein
aadA,STM1264,aminoglycoside adenyltransferase
,STM1265,putative response regulators
,STM1266,putative transcriptional regulator
,STM1267,putative cytoplasmic protein
,STM1268,putative cytoplasmic protein
,STM1269,putative chorismate mutase
yeaS,STM1270,putative transport protein
yeaR,STM1271,putative cytoplasmic protein
yoaG,STM1272,putative cytoplasmic protein
,STM1273,putative nitric oxide reductase
yeaQ,STM1274,putative inner membrane protein
yaoF,STM1275,putative hemolysin
,STM1276,putative periplasmic protein
yeaO,STM1277,putative cytoplasmic protein
yeaN,STM1278,putative MFS family transport protein (amino acid/amine transport)
yeaM,STM1279,putative regulator (AraC/XylS family)
yeaL,STM1280,putative inner membrane protein
,STM1281,putative inner membrane protein
yeaK,STM1282,putative cytoplasmic protein
yeaJ,STM1283,putative methyl-accepting chemotaxis protein
yeaH,STM1284,putative cytoplasmic protein
yeaG,STM1285,putative Ser protein kinase
mipA,STM1286,scaffolding protein for murein-synthesizing holoenzyme
,STM1287,arylsulfatase regulator
,STM1288,putative aldehyde reductase
yeaD,STM1289,putative enzyme related to aldose 1-epimerase
gapA,STM1290,glyceraldehyde-3-phosphate dehydrogenase A
yeaA,STM1291,hypothetical protein
yeaC,STM1292,putative cytoplasmic protein
pncA,STM1293,nicotinamidase/ pyrazinamidase
ansA,STM1294,cytoplasmic L-asparaginase I
sppA,STM1295,protease IV
ydjA,STM1296,putative oxidoreductase
selD,STM1297,selenophosphate synthase
topB,STM1298,DNA topoisomerase III
gdhA,STM1299,NADP-specific glutamate dehydrogenase
,STM1300,putative periplasmic protein
,STM1301,putative mutator MutT protein
xthA,STM1302,exonuclease III
astC,STM1303,succinylornithine transaminase
astA,STM1304,arginine succinyltransferase
astD,STM1305,succinylglutamic semialdehyde dehydrogenase
astB,STM1306,succinylarginine dihydrolase
astE,STM1307,succinylglutamate desuccinylase
spy,STM1308,periplasmic protein related to spheroblast formation
,STM1309,putative nuclease subunit of the excinuclease complex
nadE,STM1310,NAD synthetase
osmE,STM1311,transcriptional activator of ntrL gene
celA,STM1312,"PTS family sugar specific enzyme IIB for cellobiose, arbutin, and salicin"
celB,STM1313,"PTS family sugar specific enzyme II for cellobiose, arbutin, and salicin"
celC,STM1314,"PTS family sugar specific enzyme III for cellobiose, arbutin, and salicin"
celD,STM1315,transcriptional repressor of cel operon
celF,STM1316,phospho-beta-glucosidase
celG,STM1317,putative glucosidase
katE,STM1318,catalase
cedA,STM1319,cell division modulator
ydjN,STM1320,kinase-like protein
ydjM,STM1321,LexA regulated gene
yniC,STM1322,putative enzyme
yniB,STM1323,putative regulator
,STM1324,putative cytoplasmic protein
ydiZ,STM1325,putative cytoplasmic protein
pfkB,STM1326,6-phosphofructokinase II
ydiY,STM1327,putative salt-induced outer membrane protein
,STM1328,putative outer membrane protein
,STM1329,putative inner membrane protein
,STM1330,putative DNA/RNA non-specific endonuclease
,STM1331,putative inner membrane protein
rfc,STM1332,O-antigen polymerase
thrS,STM1333,threonine tRNA synthetase
infC,STM1334,protein chain initiation factor IF-3
rpmI,STM1335,50S ribosomal subunit protein L35
rplT,STM1336,50S ribosomal subunit protein L20
pheS,STM1337,"phenylalanine tRNA synthetase, alpha-subunit"
pheT,STM1338,"phenylalanine tRNA synthetase, beta-subunit"
himA,STM1339,"integration host factor (IHF), alpha subunit"
btuC,STM1340,vitamin B12 transport protein
btuE,STM1341,vitamin B12 transport protein
btuD,STM1342,vitamin B12 transport protein
nlpC,STM1343,lipoprotein
ydiV,STM1344,putative diguanylate cyclase/phosphodiesterase domain 1
ydiU,STM1345,putative cytoplasmic protein
ydiE,STM1346,putative cytoplasmic protein
aroH,STM1347,3-deoxy-D-arabinoheptulosonate-7-phosphate synthase
ydiA,STM1348,putative inner membrane protein
pps,STM1349,phosphoenolpyruvate synthase
ydiD,STM1350,plant pathogenicity factor-like protein
ydiT,STM1351,putative ferredoxin
ydiS,STM1352,flavoprotein
ydiR,STM1353,putative electron transfer flavoprotein
ydiQ,STM1354,putative electron transfer flavoprotein
ydiP,STM1355,"putative transcription regulator, AraC family"
ydiO,STM1356,putative acyl-CoA dehydrogenase
ydiF,STM1357,putative acetyl-CoA:acetoacetyl-CoA transferase beta subunit
aroD,STM1358,3-dehydroquinate dehydratase
ydiB,STM1359,putative shikimate 5-dehydrogenase
ydiN,STM1360,putative MFS family transport protein
ydiM,STM1361,putative MFS family transport protein
ydiL,STM1362,putative cytoplasmic protein
ydiK,STM1364,putative permease
ydiJ,STM1365,putative oxidase
,STM1366,putative protein PaaI
ydiH,STM1367,putative cytoplasmic protein
,STM1368,putative Na+-dicarboxylate symporter
sufA,STM1369,putative HesB-like domain protein
sufB,STM1370,putative ABC transporter
sufC,STM1371,putative transport protein
sufD,STM1372,iron-sulfur component of FhuF stability protein
sufS,STM1373,selenocysteine lyase
ynhA,STM1374,putative SufE protein
ynhG,STM1375,putative LysM domain protein
lppB,STM1376,putative methyl-accepting chemotaxis protein
lpp,STM1377,murein lipoprotein
pykF,STM1378,pyruvate kinase I
orf48,STM1379,putative amino acid permease
orf32,STM1380,putative hydrolase or acyltransferase
orf245,STM1381,putative cytoplasmic protein
orf408,STM1382,"putative regulatory protein, deoR family"
ttrA,STM1383,"tetrathionate reductase complex, subunit A"
ttrC,STM1384,"tetrathionate reductase complex, subunit C"
ttrB,STM1385,"tetrathionate reductase complex, subunit B"
ttrS,STM1386,tetrathionate reductase complex: sensory transduction histidine kinase
ttrR,STM1387,tetrathionate reductase complex: response regulator
orf70,STM1388,putative cytoplasmic protein
orf319,STM1389,putative inner membrane protein
orf242,STM1390,"putative regulatory proteins, merR family"
ssrB,STM1391,secretion system regulator: transcriptional activator
ssrA,STM1392,secretion system regulator: Sensor component
ssaB,STM1393,secretion system apparatus protein
ssaC,STM1394,secretion system apparatus protein
ssaD,STM1395,secretion system apparatus protein
ssaE,STM1396,secretion system effector
sseA,STM1397,secretion system effector
sseB,STM1398,secretion system effector
sscA,STM1399,secretion system chaparone
sseC,STM1400,secretion system effector
sseD,STM1401,secretion system effector
sseE,STM1402,secretion system effector
sscB,STM1403,secretion system chaparone
sseF,STM1404,secretion system effector
sseG,STM1405,secretion system effector
ssaG,STM1406,secretion system apparatus
ssaH,STM1407,secretion system apparatus
ssaI,STM1408,secretion system apparatus
ssaJ,STM1409,secretion system apparatus protein
,STM1410,putative cytoplasmic protein
ssaK,STM1411,secretion system apparatus protein
ssaL,STM1412,secretion system apparatus protein
ssaM,STM1413,secretion system apparatus protein
ssaV,STM1414,secretion system apparatus protein
ssaN,STM1415,secretion system apparatus protein
ssaO,STM1416,secretion system apparatus protein
ssaP,STM1417,secretion system apparatus protein
ssaQ,STM1418,secretion system apparatus protein
ssaR,STM1419,secretion system apparatus protein
ssaS,STM1420,secretion system apparatus
ssaT,STM1421,secretion system apparatus protein
ssaU,STM1422,secretion system apparatus protein
ydhE,STM1425,putative MATE family transport protein
ribE,STM1426,"riboflavin synthase, alpha chain"
cfa,STM1427,cyclopropane fatty acyl phospholipid synthase
ydhC,STM1428,putative MFS family transport protein
ydhB,STM1429,putative LysR family transcriptional regulator
purR,STM1430,"transcriptional repressor for pur regulon, glyA, glnB, prsA, speA (GalR/LacI family)"
sodB,STM1431,iron superoxide dismutase
ydhO,STM1432,putative cell wall-associated hydrolase
ydhD,STM1433,putative glutaredoxin protein
rnt,STM1434,RNase T
gloA,STM1435,glyoxalase I
nemA,STM1436,N-ethylmaleimide reductase
ydhM,STM1437,putative TetR/AcrR family transcriptional repressor
ydhL,STM1438,putative oxidoreductase
ydhF,STM1439,putative aldo/keto reductase
sodC,STM1440,copper/zinc superoxide dismutase
,STM1441,putative inner membrane protein
ydhJ,STM1442,putative multidrug resistance efflux pump
ydhI,STM1443,putative inner membrane protein
slyA,STM1444,MarR family transcriptional regulator for hemolysin
slyB,STM1445,putative outer membrane lipoprotein
ydhH,STM1446,putative cytoplasmic protein
ydhA,STM1447,putative outer membrane lipoprotein
pdxH,STM1448,pyridoxine 5'-phosphate oxidase
tyrS,STM1449,tyrosine tRNA synthetase
pdxY,STM1450,pyridoxal kinase 2
gst,STM1451,glutathionine S-transferase
ydgR,STM1452,putative POT family peptide transport protein
nth,STM1453,endonuclease III
ydgQ,STM1454,putative membrane NADH-quinone reductase protein
ydgP,STM1455,putative Na+-transporting NADH:ubiquinone oxidoreductase gamma subunit
ydgO,STM1456,putative oxidoreductase
,STM1457,putative respiratory-chain NADH dehydrogenase
ydgM,STM1458,putative alternative beta subunit of Na+-transporting NADH:ubiquinone oxidoreductase
,STM1459,putative inner membrane oxidoreductase protein
ydgK,STM1460,putative inner membrane protein
ydgT,STM1461,putative cytoplasmic protein
ydgJ,STM1462,putative oxidoreductase
add,STM1463,adenosine deaminase
ydgA,STM1466,putative periplasmic protein
manA,STM1467,mannose-6-phosphate isomerase
fumA,STM1468,fumarase A
fumC,STM1469,fumarase C
tus,STM1470,replication termination protein
rstB,STM1471,sensory histidine kinase in two-component regulatory system with RstA
,STM1472,putative periplasmic protein
ompN,STM1473,outer membrane protein N
rstA,STM1475,response regulator in two-component regulatory system with RstB (OmpR family)
ydgC,STM1476,putative inner membrane protein
ydgI,STM1477,putative amino acid transporter
ydgH,STM1478,putative periplasmic protein
pntA,STM1479,"pyridine nucleotide transhydrogenase, alpha subunit"
pntB,STM1480,"pyridine nucleotide transhydrogenase, beta subunit"
,STM1481,putative membrane transport protein
ydgF,STM1482,putative membrane transporter of cations and cationic drugs
ydgE,STM1483,putative membrane transporter of cations and cationic drugs
,STM1484,putative protease
,STM1485,acid shock protein
ynfM,STM1486,putative MFS familty transport protein
ynfL,STM1487,putative LysR family transcriptional regulator
mlc,STM1488,transcriptional repressor of ptsG and ptsHI
ynfK,STM1489,putative dethiobiotin synthase
,STM1490,putative chloride channel protein
,STM1491,ABC-type proline/glycine betaine transport system
,STM1492,putative binding-protein-dependent transport system
,STM1493,putative periplasmic component
,STM1494,ABC-type transport system protein
ynfI,STM1495,putative component of anaerobic dehydrogenases
,STM1496,putative dimethylsulfoxide reductase
,STM1497,putative dimethyl sulfoxide reductase
,STM1498,putative dimethyl sulfoxide reductase
,STM1499,"putative dimethyl sulfoxide reductase, chain A1"
ynfD,STM1500,putative outer membrane protein
ynfC,STM1501,putative inner membrane lipoprotein
speG,STM1502,spermidine N1-acetyltransferase
ynfB,STM1503,putative periplasmic protein
ynfA,STM1504,putative inner membrane lipoprotein
rspA,STM1505,putative dehydratase
rspB,STM1506,putative dehydrogenase
ydfJ,STM1507,putative transport protein
ydfI,STM1508,putative mannitol dehydrogenase
ydfZ,STM1509,putative cytoplasmic protein
ydfH,STM1510,putative gntR family regulatory protein
ydfG,STM1511,putative oxidoreductase
dcp,STM1512,dipeptidyl carboxypeptidase II
,STM1513,putative cytoplasmic protein
ydeJ,STM1514,putative competence-damaged protein
ydeI,STM1515,putative periplasmic protein
ydeE,STM1516,putative MFS family transport protein
ydeD,STM1517,"putative permease, integral membrane protein"
marB,STM1518,multiple antibiotic resistance protein
marA,STM1519,AraC/XylS family transcriptional activator of defense systems
marR,STM1520,transcriptional repressor of marRAB operon
marC,STM1521,putative MarC Transporter
ydeA,STM1522,MFS family L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein
yneJ,STM1523,putative LysR family transcriptional regulator
yneI,STM1524,putative succinate-semialdehyde dehydrogenase
yneH,STM1525,putative glutaminase
yneG,STM1526,putative cytoplasmic protein
,STM1527,putative inner membrane protein
,STM1528,putative outer membrane protein
,STM1529,putative inner membrane protein
,STM1530,putative outer membrane protein
,STM1531,putative hydrogenase
,STM1532,putative dehydrogenase protein
,STM1533,putative hydrogenase
,STM1534,putative hydrogenase
,STM1535,putative hydrogenase protein
,STM1536,putative hydrogenase maturation protease
,STM1537,putative Ni/Fe-hydrogenase 1 b-type cytochrome subunit
,STM1538,putative hydrogenase-1 large subunit
,STM1539,putative hydrogenase-1 small subunit
,STM1540,putative hydrolase
,STM1541,putative gntR family regulatory protein
,STM1542,putative zinc-binding dehydrogenase
,STM1543,putative transport protein
pqaA,STM1544,PhoPQ-regulated protein
,STM1545,putative multidrug efflux protein
,STM1546,putative monooxygenase
,STM1547,putative marR-family transcriptional regulator
,STM1548,putative S-adenosylmethionine:tRNA-ribosyltransferase-isomerase
,STM1549,putative translation initiation inhibitor
,STM1550,putative cytoplasmic protein
,STM1551,putative cytoplasmic protein
,STM1552,putative cytoplasmic protein
,STM1554,putative coiled-coil protein
,STM1555,putative transcriptional regulator
,STM1556,putative Na+/H+ antiporter
,STM1557,putative aminotransferase
,STM1558,putative glycosyl hydrolase
,STM1559,putative glycosyl hydrolase
,STM1560,putative alpha amylase
,STM1561,putative outer membrane or secreted lipoprotein
,STM1562,putative periplasmic transport protein
osmC,STM1563,putative resistance protein
yddX,STM1564,putative cytoplasmic protein
rpsV,STM1565,30S ribosomal subunit protein S22
sfcA,STM1566,NAD-linked malate dehydrogenase
adhP,STM1567,alcohol dehydrogenase
fdnI,STM1568,"formate dehydrogenase-N, cytochrome B556(Fdn) gamma subunit"
fdnH,STM1569,"formate dehydrogenase-N, Fe-S beta subunit"
fdnG,STM1570,putative molybdopterin oxidoreductases
yddG,STM1571,putative permease
nmpC,STM1572,new outer membrane protein
,STM1573,putative cytoplasmic protein
smvA,STM1574,methyl viologen resistance protein
,STM1575,"putative transcriptional regulator, TetR family"
narU,STM1576,MFS superfamily nitrate extrusion protein
narZ,STM1577,"nitrate reductase 2, alpha subunit"
narY,STM1578,"nitrate reductase 2, beta subunit"
narW,STM1579,"nitrate reductase 2, delta subunit"
narV,STM1580,"nitrate reductase 2, gamma subunit"
yddE,STM1581,putative phenazine biosynthesis protein
nhoA,STM1582,putative arylamine N-acetyltransferase
,STM1583,putative cytoplasmic protein
ansP,STM1584,"APC family, L-asparagine transport protein"
,STM1585,putative outer membrane lipoprotein
,STM1586,putative periplasmic protein
yncD,STM1587,putative outer membrane receptor
yncC,STM1588,putative gntR family regulatory protein
yncB,STM1589,putative NADP-dependent oxidoreductase
yncA,STM1590,putative acyltransferase
ydcZ,STM1591,putative inner membrane protein
ydcY,STM1592,putative cytoplasmic protein
srfA,STM1593,ssrAB activated gene
srfB,STM1594,ssrAB activated gene
srfC,STM1595,ssrAB activated gene
ydcX,STM1596,putative inner membrane protein
ydcW,STM1597,putative aldehyde dehydrogenase
ydcR,STM1598,putative gntR family regulatory protein
pdgL,STM1599,Periplasmic dipeptidase
,STM1600,putative inner membrane protein
ugtL,STM1601,putative membrane protein
sifB,STM1602,Salmonella translocated effector: translocated by SPI-2
yncJ,STM1603,putative periplasmic protein
ydcP,STM1604,putative collagenase
ydcN,STM1605,putative oxidoreductase
,STM1606,putative benzoate membrane transport protein
,STM1607,putative outer membrane lipoprotein
tehB,STM1608,putative methyltransferase
tehA,STM1609,K+-tellurite ethidium and proflavin transport protein
ydcK,STM1610,putative nucleoside-diphosphate-sugar pyrophosphorylases
rimL,STM1611,acetyl transferase
,STM1612,putative cellulase protein
,STM1613,"putative PTS system, enzymeIIB component"
,STM1614,putative PTS system enzyme IIC component
,STM1615,putative nucleoside triphosphatase
,STM1616,putative sugar specific PTS enzyme II
,STM1617,putative ribulose-phosphate 3-epimerase
,STM1618,putative DeoR family transcriptional repressor of sgc operon
,STM1619,cryptic aminoglycoside resistance gene
,STM1620,putative oxidase
,STM1621,putative periplasmic protein
ydcG,STM1622,putative periplasmic glucans biosynthesis protein
,STM1623,putative carboxylesterase
,STM1624,putative cytoplasmic protein
ydcI,STM1625,putative LysR family transcriptional regulator
trg,STM1626,methyl-accepting chemotaxis protein III
,STM1627,alcohol dehydrogenase class III
,STM1628,putative cytoplasmic protein
,STM1629,putative dipicolinate reductase
,STM1630,putative inner membrane protein
sseJ,STM1631,Salmonella translocated effector
,STM1632,putative inner membrane protein
,STM1633,putative periplasmic binding protein
,STM1634,putative amino acid ABC transporter permease component
,STM1635,putative ABC-type polar amino acid transport system
,STM1636,putative ABC-type transport system probable membrane spanning protein
,STM1637,putative inner membrane protein
,STM1638,putative SAM-dependent methyltransferase
cybB,STM1639,cytochrome b(561)
ydcF,STM1640,putative inner membrane protein
hrpA,STM1641,ATP-dependent helicase
acpD,STM1642,acyl carrier protein phosphodiesterase
,STM1643,putative inner membrane protein
ydbL,STM1644,putative periplasmic protein
ynbE,STM1645,putative outer membrane lipoprotein
ydbH,STM1646,putative periplasmic protein
ldhA,STM1647,NAD-dependent fermentative D-lactate dehydrogenase
hslJ,STM1648,heat shock protein hslJ
,STM1649,putative cytoplasmic protein
,STM1650,putative reverse transcriptase
nifJ,STM1651,putative pyruvate-flavodoxin oxidoreductase
ynaF,STM1652,putative universal stress protein
,STM1653,putative membrane transporter of cations
ydaO,STM1654,putative ATPase
dbpA,STM1655,ATP-dependent RNA helicase
,STM1656,putative Zn transport protein
,STM1657,putative methyl-accepting chemotaxis protein
ydaL,STM1658,putative Smr domain protein
ogt,STM1659,O-6-alkylguanine-DNA
fnr,STM1660,transcriptional regulator
ydaA,STM1661,putative universal stress protein
ynaJ,STM1662,putative inner membrane protein
ynaI,STM1663,putative integral membrane protein
,STM1664,putative transcriptional regulator
,STM1665,putative cytoplasmic protein
,STM1667,putative thiol peroxidase
,STM1668,putative outer membrane or exported protein
,STM1669,invasin-like protein; intimin
,STM1670,putative serine/threonine protein kinase
,STM1671,"putative bacterial regulatory helix-turn-helix protein, araC family"
,STM1672,putative cytoplasmic protein
,STM1673,putative outer membrane lipoprotein
,STM1674,putative AraC family bacterial regulatory helix-turn-helix protein
,STM1675,putative short-chain alcohol dehydrogenase
,STM1676,putative aldo/keto reductase family
,STM1677,putative LysR family transcriptional regulator
,STM1678,putative 2'-hydroxyisoflavone reductase
mppA,STM1679,periplasmic murein tripeptide transport protein
ycjI,STM1680,putative carboxypeptidase
ycjG,STM1681,putative chloromuconate cycloisomerase
tpx,STM1682,thiol peroxidase
tyrR,STM1683,"transcriptional regulator of aromatic amino acid biosynthesis genes (aroF, aroG, tyrA) and aromatic amino acid transport"
ycjF,STM1684,putative inner membrane protein
ycjX,STM1685,putative ATPase
pspE,STM1686,phage shock protein
pspD,STM1687,phage shock protein
pspC,STM1688,phage shock protein
pspB,STM1689,phage shock protein
pspA,STM1690,phage shock protein
pspF,STM1691,transcription activator
sapA,STM1692,ABC superfamily peptide transport protein
sapB,STM1693,ABC superfamily peptide transport protein
sapC,STM1694,ABC superfamily peptide transport protein
sapD,STM1695,ABC superfamily peptide transport protein
sapF,STM1696,ABC superfamily peptide transport protein
,STM1697,putative diguanylate cyclase/phosphodiesterase domain 2
,STM1698,putative inner membrane protein
,STM1698A,putative e6 protein
ycjE,STM1699,putative cytoplasmic protein
fabI,STM1700,enoyl-[acyl-carrier-protein
yciW,STM1701,putative cytoplasmic protein
rnb,STM1702,RNase II
yciR,STM1703,putative PAS/PAC domain protein
yciT,STM1704,putative deoR family regulatory protein
osmB,STM1705,osmotically inducible lipoprotein
yciH,STM1706,putative translation initiation factor SUI1
pyrF,STM1707,orotidine-5'-phosphate decarboxylase
yciM,STM1708,putative N-acetylglucosaminyl transferase
yciS,STM1709,putative inner membrane protein
pgpB,STM1710,phosphatidylglycerophosphate phosphatase B
ribA,STM1711,GTP cyclohydrolase II
acnA,STM1712,aconitate hydratase 1
cysB,STM1713,transcriptional regulator for cysteine regulon
topA,STM1714,"DNA topoisomerase type I, omega protein"
yciN,STM1715,putative cytoplasmic protein
sohB,STM1716,putative peptidase
yciK,STM1717,putative oxoacyl-(acyl carrier protein) reductase
btuR,STM1718,cob(I)alamin and cobinamide adenolsyltransferase
yciL,STM1719,putative ribosomal large subunit pseudouridine synthase
yciO,STM1720,putative translation factor
trpH,STM1721,trpR controlled transcriptional unit in the 5' upstream region of the trp operon
trpL,STM1722,trp operon leader peptide
trpE,STM1723,"anthranilate synthase, component I"
trpD,STM1724,"anthranilate synthase, component II"
trpC,STM1725,N-(5-phosphoribosyl)anthranilate isomerase
trpB,STM1726,"tryptophan synthase, beta protein"
trpA,STM1727,"tryptophan synthase, alpha protein"
yciG,STM1728,putative cytoplasmic protein
yciF,STM1729,putative cytoplasmic protein
yciE,STM1730,putative cytoplasmic protein
,STM1731,putative catalase
ompW,STM1732,outer membrane protein W
,STM1733,putative ferredoxin
yciC,STM1734,putative inner membrane protein
yciB,STM1735,putative intracellular septation protein
yciA,STM1736,putative Acyl-CoA hydrolase
tonB,STM1737,TonB
yciI,STM1738,putative cytoplasmic protein
cls,STM1739,cardiolipin synthase
yciU,STM1740,putative cytoplasmic protein
,STM1741,putative voltage-gated potassium channel
oppF,STM1742,oligopeptide transport protein
oppD,STM1743,oligopeptide transport protein
oppC,STM1744,oligopeptide transport protein
oppB,STM1745,oligopeptide transport protein
oppA,STM1746,oligopeptide transport protein with chaperone properties
,STM1747,putative inner membrane protein
ychE,STM1748,putative MarC family integral membrane protein
adhE,STM1749,iron-dependent alcohol dehydrogenase of the multifunctional alcohol dehydrogenase AdhE
tdk,STM1750,thymidine kinase
hns,STM1751,DNA-binding protein HLP-II
galU,STM1752,glucose-1-phosphate uridylyltransferase
hnr,STM1753,Response regulator in protein turnover
ychK,STM1754,putative phosphoesterase
ychJ,STM1755,putative cytoplasmic protein
purU,STM1756,formyltetrahydrofolate hydrolase
,STM1760,putative TPR repeat protein
narI,STM1761,"nitrate reductase 1, cytochrome b(NR), gamma subunit"
narJ,STM1762,"nitrate reductase 1, delta subunit"
narH,STM1763,"nitrate reductase 1, FeS (beta) subunit"
narG,STM1764,"nitrate reductase 1, alpha subunit"
narK,STM1765,MFS superfamily nitrite extrusion protein
narX,STM1766,sensory histidine kinase in two component regulatory system with NarL
narL,STM1767,response regulator in two-component regulatory system with NarX (or NarQ)
ychP,STM1768,putative invasin
ychN,STM1769,putative ACR protein
chaB,STM1770,cation transport regulator
chaA,STM1771,"CaCA family, sodium-calcium/proton antiporter"
kdsA,STM1772,3-deoxy-D-manno-octulosonic acid 8-P synthetase
ychA,STM1773,putative transcriptional regulator
sirC,STM1774,regulator of invasion genes
hemK,STM1775,putative protoporphyrinogen oxidase
prfA,STM1776,peptide chain release factor RF-1
hemA,STM1777,glutamyl tRNA reductase
lolB,STM1778,outer membrane lipoprotein
ipk,STM1779,isopentenyl monophosphate kinase
prsA,STM1780,phosphoribosylpyrophosphate synthetase
ychM,STM1781,putative SulP family transport protein
ychH,STM1782,putative inner membrane protein
pth,STM1783,peptidyl-tRNA hydrolase
ychF,STM1784,putative GTP-binding protein
,STM1785,putative cytoplasmic protein
,STM1786,hydrogenase-1 small subunit
,STM1787,hydrogenase-1 large subunit
,STM1788,putative Ni/Fe-hydrogenase 1 b-type cytochrome subunit
,STM1789,putative hydrogenase maturation protease
,STM1790,putative thiol-disulfide isomerase and thioredoxin
,STM1791,putative hydrogenase-1 protein
,STM1792,"putative cytochrome oxidase, subunit I"
,STM1793,"putative cytochrome oxidase, subunit II"
,STM1794,putative periplasmic protein
,STM1795,putative homolog of glutamic dehydrogenase
treA,STM1796,"trehalase, periplasmic"
ymgE,STM1797,putative transglycosylase-associated protein
ycgR,STM1798,putative inner membrane protein
emtA,STM1799,membrane-bound lytic murein transglycosylase E
